zipcode,street_address,city,store_name,store_no,zip_state,distance
33033,1850 N.E. 8TH Street,Homestead,Homestead Lowe's,2707,FL,999.7
33162,850 NE 167TH ST,N. Miami Beach,North Miami Beach Lowe's,3413,FL,1000.3
33165,8859 SW 24th Street,Miami,Lowe's Outlet Westchester,3569,FL,1002.6
33186,9191 Sw 137TH Avenue,Miami,Kendall Lowe's,2904,FL,1004.6
33012,1650 West 37TH Street,Hialeah,Hialeah Lowe's,2254,FL,1004.9
33015,17460 Nw 57TH Avenue,Hialeah,N.W. Miami-dade Lowe's,1841,FL,1006.5
33024,130 North University Drive,Pembroke Pines,Pembroke Pines Lowe's,1681,FL,1006.8
33311,1001 West Oakland Park Blvd,Oakland Park,Oakland Park Lowe's,754,FL,1007.3
33062,1851 N. Federal Highway,Pompano Beach,Pompano Beach Lowe's,1792,FL,1007.6
33351,8050 West Oakland Park BLVD.,Sunrise,Sunrise Lowe's,1113,FL,1012.6
1129,1600 BOSTON RD,Springfield,E. Springfield Lowe's,660,MA,8.2
1035,282 Russell Street,Hadley,Hadley Lowe's,1916,MA,18.4
6002,325 COTTAGE GROVE ROAD,Bloomfield,Bloomfield Lowe's,1665,CT,19.7
6042,31 BUCKLAND HILLS DRIVE,Manchester,Manchester Lowe's,763,CT,20.1
1082,348 Palmer Road,Ware,Ware Lowe's,2386,MA,20.9
6111,3270 BERLIN TURNPIKE,Newington,Newington Lowe's,623,CT,30.2
6790,420 WINSTED ROAD,Torrington,Torrington Lowe's,2395,CT,30.7
6062,246 NEW BRITAIN AVENUE,Plainville,Plainville Lowe's,650,CT,30.8
6416,90 Berlin Road,Cromwell,Cromwell Lowe's,2383,CT,33.9
6489,500 Executive Boulevard,Southington,Southington Lowe's,2910,CT,36
12534,490 Fairview Avenue,Hudson,Greenport Lowe's,2927,NY,39.4
1605,533 LINCOLN STREET,Worcester,Worcester Lowe's,1206,MA,32.7
1453,198 New Lancaster Road,Leominster,Leominster Lowe's,1858,MA,37.7
1581,260-266 TURNPIKE RD,Westborough,Westborough Lowe's,1831,MA,39.3
6241,1150 Killingly Commons Drive,Dayville,Killingly Lowe's,2396,CT,41.3
1749,6 Highland Common East,Hudson,Hudson Lowe's,2375,MA,42.4
12077,271 Route 9 West,Glenmont,Glenmont Lowe's,1784,NY,50.7
12110,790 Loudon Road,Latham,Latham Lowe's,1177,NY,51.1
12205,1482 Central Avenue,Colonie,Colonie Lowe's,1973,NY,53.3
1757,40 Fortune Boulevard,Milford,Milford Lowe's,1889,MA,35.9
1701,350 Cochituate Road,Framingham,Framingham Lowe's,2384,MA,41
3031,"124 ROUTE 101A, UNIT 15",Amherst,Amherst Lowe's,2526,NH,38.1
6351,155 River Road,Lisbon,Lisbon Lowe's,2938,CT,39.5
12065,476 Route 146,Halfmoon,Halfmoon Lowe's,1740,NY,49.4
2896,19 DOWLING VILLAGE BLVD,North Smithfield,North Smithfield Lowe's,2723,RI,37
12414,60 Catskill Commons,Catskill,Catskill Lowe's,2483,NY,36.3
12304,422 Balltown Road,Schenectady,Niskayuna Lowe's,1612,NY,39.5
12302,93 Freemans Bridge Road,Glenville,Glenville Lowe's,2701,NY,44
12401,901 Frank Sottile BLVD.,Kingston,Ulster Lowe's,524,NY,34
12528,650 Route 299,Highland,Lloyd Lowe's,2326,NY,42.5
12601,1941 South Road,Poughkeepsie,Poughkeepsie Lowe's,541,NY,43
12866,10 LOWE'S Drive,Saratoga Springs,Saratoga Springs Lowe's,560,NY,46
3060,143 Daniel Webster Highway,Nashua,S. Nashua Lowe's,2391,NH,56.2
3110,222 SOUTH RIVER ROAD,Bedford,Bedford Lowe's,1907,NH,57.9
12804,251 Quaker RD.,Queensbury,Glens Falls Lowe's,641,NY,48.4
1851,50 Lowes Way,Lowell,Lowell Lowe's,2657,MA,29.9
3079,541 South Broadway,Salem,Salem Lowe's,2382,NH,31.8
1801,15 Commerce Way,Woburn,Woburn Lowe's,1198,MA,17.6
2155,630 Fellsway,Medford,Lowe's Outlet Medford,3575,MA,21.8
2760,1360 S. Washington Street,North Attleboro,North Attleboro Lowe's,1014,MA,11.5
2904,1703 MINERAL SPRINGS AVENUE,North Providence,North Providence Lowe's,2863,RI,11.6
2762,201 Washington Street,Plainville,Plainville Lowe's,2393,MA,11.9
2920,247 GARFIELD AVENUE,Cranston,Cranston Lowe's,1505,RI,16.1
2771,1000 Fall River Avenue,Seekonk,Seekonk Lowe's,1932,MA,18.7
2886,555 GREENWICH AVENUE,Warwick,N. Warwick Lowe's,2397,RI,21
2026,306 Providence Highway,Dedham,Dedham Lowe's,1914,MA,25.5
